Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
1,6,108.269997,109.57,104.230003,105.650002,105.650002,96726900
2,6,104.239998,106.239998,102.610001,105.279999,105.279999,79022900
3,6,104.57,105.849998,100.410004,101.900002,101.900002,97641900
4,6,101.57,103.940002,98.739998,98.800003,98.800003,95299000
5,6,98.82,99.93,94.25,94.82,94.82,102135400
1,6,91.260002,92.029999,86.639999,86.989998,86.989998,98148800
2,6,87.410004,88.300003,85.82,86.989998,86.989998,84066600
3,6,87.900002,90.860001,86.190002,89.300003,89.300003,95774800
4,6,86.629997,86.730003,80.639999,82.050003,82.050003,102433300
5,6,82.190002,82.940002,79.43,81.57,81.57,105212300
2,6,84.169998,85.809998,82.599998,83.790001,83.790001,87780600
3,6,84.400002,86.379997,83.300003,83.75,83.75,86634700
4,6,84.32,84.410004,80.230003,82.43,82.43,100614600
5,6,83.559998,87.529999,83.080002,87.080002,87.080002,88553900
1,6,87.360001,88.220001,85.25,86.160004,86.160004,74663500
2,6,85.709999,86.730003,80.43,80.779999,80.779999,95618600
3,6,79.550003,79.75,76.510002,77.989998,77.989998,104140900
4,6,77.730003,78.910004,75.480003,76.470001,76.470001,105368600
5,7,75.190002,75.449997,72.690002,73.669998,73.669998,87734200
2,7,71.980003,75.209999,71.599998,75.199997,75.199997,95589000
3,7,75.169998,76.279999,73.550003,75.349998,75.349998,85458900
4,7,77.190002,79.989998,76.900002,79.300003,79.300003,83640900
5,7,78.309998,80.470001,77.400002,79.349998,79.349998,83405900
1,7,77.849998,78.290001,75.839996,76.949997,76.949997,76150300
2,7,76.980003,77.440002,74.43,76.360001,76.360001,77873200
3,7,74.940002,79.110001,74.480003,77.519997,77.519997,79355000
4,7,78.230003,79.25,76,78.599998,78.599998,83493600
5,7,79.360001,81.199997,77.900002,81.110001,81.110001,76050600
1,7,82.209999,84.470001,80.940002,81.43,81.43,90464300
2,7,82.760002,86.410004,82.190002,85.879997,85.879997,85047500
3,7,85.389999,89.919998,85.080002,89.43,89.43,88348600
4,7,89.599998,91.580002,88.220001,91.089996,91.089996,90449300
5,7,90.199997,90.690002,87.040001,88.099998,88.099998,76989700
1,7,86.57,87.599998,85.120003,87.540001,87.540001,70083000
2,7,87,87.75,84.709999,85.25,85.25,69180400
3,7,86.940002,90.620003,86.290001,89.82,89.82,78301600
4,7,90.419998,92.220001,88.589996,91.669998,91.669998,79009200
5,7,90.699997,94.809998,90.559998,94.470001,94.470001,76630700
1,8,95.589996,98.389999,93.959999,96.779999,96.779999,96477500
2,8,95.709999,100.919998,95.360001,99.290001,99.290001,116734100
3,8,94.830002,98.769997,93.620003,98.089996,98.089996,131142000
4,8,97.5,104.589996,97.260002,103.910004,103.910004,125855800
5,8,101.050003,103.860001,100.980003,102.309998,102.309998,93859900
1,8,100.059998,101.800003,97.989998,100.07,100.07,92606800
2,8,97.949997,98.050003,93.669998,95.540001,95.540001,89473700
3,8,98.449997,99.349998,95.610001,99.050003,99.050003,83416100
4,8,99.93,102.370003,98,98.120003,98.120003,77516900
5,8,99.199997,101.400002,98.480003,100.830002,100.830002,72316300
1,8,100.510002,101.849998,99.800003,101.010002,101.010002,61327100
2,8,100.839996,101.449997,98.32,100.199997,100.199997,60220700
3,8,99.260002,99.639999,96.730003,98.269997,98.269997,63735600
4,8,97.739998,101.07,96.730003,100.440002,100.440002,76059500
5,8,98.669998,99.25,94.589996,95.949997,95.949997,67221700
1,8,94.400002,95.019997,92.360001,92.839996,92.839996,61837300
2,8,92.389999,94.440002,92.110001,92.489998,92.489998,52927000
3,8,92.209999,93.379997,90.900002,92.730003,92.730003,56520400
4,8,93.139999,97.57,93.139999,97.18,97.18,61016200
5,8,96.290001,97.599998,91.120003,91.18,91.18,65552500
1,8,90.050003,91.190002,88.260002,88.489998,88.489998,61142500
2,8,90.059998,90.150002,85.339996,86.940002,86.940002,69087100
3,8,86.279999,86.720001,83.720001,84.870003,84.870003,64991700
4,9,82.349998,82.760002,78.519997,82.330002,82.330002,94854700
5,9,83.32,83.650002,79.809998,80.239998,80.239998,84924400
2,9,80.410004,80.889999,78.370003,78.720001,78.720001,68727300
3,9,79.239998,80.25,77.739998,79.610001,79.610001,67891200
4,9,80.029999,83.449997,79.239998,82.779999,82.779999,89089300
5,9,84.029999,85.68,83.839996,85.449997,85.449997,68907700
1,9,84.889999,85.349998,83.459999,84.639999,84.639999,71922500
2,9,80.959999,81.470001,76.800003,77.029999,77.029999,80921200
3,9,77.099998,78.080002,75.870003,77.449997,77.449997,71483000
4,9,76.639999,77.970001,74.910004,76.660004,76.660004,81818000
5,9,75.620003,76.82,74.68,76.510002,76.510002,75300200
1,9,75.389999,77.339996,75.349998,76.769997,76.769997,64966900
2,9,76.080002,76.580002,74.730003,75.25,75.25,51129100
3,9,75.440002,78.410004,74.449997,74.480003,74.480003,82069700
4,9,73.889999,74.290001,69.169998,69.5,69.5,101436900
5,9,68,69.080002,66.82,67.959999,67.959999,87690000
1,9,67.870003,68.739998,66.25,66.300003,66.300003,82898700
2,9,67.900002,68.779999,66,67.169998,67.169998,94871800
3,9,67.110001,68.800003,66.559998,68.360001,68.360001,72389500
4,9,67.150002,67.199997,62.830002,64.139999,64.139999,102552400
5,9,63.619999,65.910004,63.34,63.360001,63.360001,81664100
1,10,64.459999,66.910004,63.389999,66.110001,66.110001,83841600
2,10,68.269997,69.18,67.330002,67.900002,67.900002,77160500
3,10,66.589996,68.690002,64.519997,67.940002,67.940002,87127400
4,10,67.82,70.290001,67.660004,67.849998,67.849998,98325900
5,10,64.010002,64.029999,58.220001,58.439999,58.439999,163786300
1,10,57.310001,58.790001,56.299999,57.810001,57.810001,112241800
2,10,57.209999,58.919998,56.049999,57.630001,57.630001,114054800
