Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
5,12,425,425,425,425,425,0
1,12,425,425,425,425,425,0
2,12,425,425,425,425,425,0
3,12,425,435,420,420,420,10000
5,12,420,435,420,420,420,10000
1,12,420,435,420,420,420,30000
2,12,425,440,425,425,425,10000
3,12,425,425,425,425,425,0
5,1,425,425,425,425,425,0
1,1,425,425,425,425,425,0
2,1,425,425,425,425,425,0
3,1,430,445,430,430,430,20000
4,1,430,445,425,425,425,20000
5,1,425,445,425,425,425,20000
1,1,425,425,425,425,425,0
2,1,425,425,425,425,425,0
3,1,425,425,425,425,425,0
4,1,425,445,425,425,425,10000
5,1,425,445,425,425,425,10000
1,1,425,445,425,425,425,10000
2,1,425,425,425,425,425,0
3,1,425,425,425,425,425,0
4,1,425,425,425,425,425,0
5,1,430,445,430,430,430,10000
1,1,430,430,430,430,430,0
2,1,430,430,430,430,430,0
3,1,430,430,430,430,430,0
4,1,430,430,430,430,430,0
5,1,430,430,430,430,430,0
1,2,430,450,430,430,430,10000
2,2,430,430,430,430,430,0
3,2,430,430,430,430,430,0
4,2,430,450,430,430,430,10000
5,2,430,445,430,430,430,20000
1,2,430,430,430,430,430,0
2,2,430,445,430,430,430,30000
3,2,430,430,430,430,430,0
4,2,430,430,430,430,430,0
5,2,430,445,425,425,425,20000
2,2,425,425,425,425,425,0
3,2,425,425,425,425,425,0
4,2,425,425,425,425,425,0
5,2,425,425,425,425,425,0
1,2,435,455,435,435,435,10000
2,2,445,465,445,445,445,10000
3,2,455,475,455,455,455,20000
4,2,480,495,480,480,480,10000
5,2,485,500,485,485,485,10000
1,3,485,485,485,485,485,0
2,3,485,500,485,485,485,10000
3,3,485,485,485,485,485,0
4,3,485,485,485,485,485,0
5,3,485,485,485,485,485,0
1,3,485,500,485,485,485,40000
2,3,485,485,485,485,485,0
3,3,485,485,485,485,485,0
4,3,485,505,485,485,485,10000
5,3,485,500,485,485,485,50000
1,3,485,485,485,485,485,0
2,3,485,495,480,480,480,10000
3,3,480,480,480,480,480,0
4,3,480,495,475,475,475,10000
5,3,475,475,475,475,475,0
1,3,475,490,475,475,475,20000
2,3,475,490,475,475,475,50000
3,3,475,475,475,475,475,0
4,3,480,495,480,480,480,20000
5,3,480,480,480,480,480,0
1,3,480,480,480,480,480,0
2,3,480,480,480,480,480,0
3,4,485,505,485,485,485,10000
4,4,495,510,495,495,495,70000
5,4,495,495,495,495,495,0
1,4,495,510,495,495,495,10000
2,4,495,495,495,495,495,0
3,4,495,510,490,490,490,10000
4,4,500,510,500,500,500,20000
5,4,500,500,500,500,500,0
1,4,500,500,500,500,500,0
2,4,500,500,500,500,500,0
3,4,500,510,495,495,495,10000
4,4,495,505,490,490,490,10000
1,4,490,490,490,490,490,0
2,4,495,510,495,495,495,20000
3,4,495,510,495,495,495,30000
4,4,500,515,500,500,500,20000
5,4,500,500,500,500,500,0
1,4,510,525,510,510,510,30000
2,4,510,525,510,510,510,10000
3,4,515,535,515,515,515,10000
4,4,515,515,515,515,515,0
5,5,515,515,515,515,515,0
1,5,520,540,520,520,520,10000
